[02/10/22 17:07:10] HIDS starting.
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File368.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File369.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File372.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File375.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File376.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File377.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File378.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File379.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File380.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File384.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File385.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File386.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File387.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File389.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File391.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File392.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File393.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File395.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File396.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File399.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File4.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File40.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File401.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File405.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File407.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File408.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File411.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File412.doc ok
